Embedding_dimension,Model,Metric,N_E1,E1_Mean,E1_SD,E1_CI95_Lower,E1_CI95_Upper,N_E2,E2_Mean,E2_SD,E2_CI95_Lower,E2_CI95_Upper,N_pairs,Mean_difference_E2_minus_E1,Wilcoxon_W,p_value,Holm_adjusted_p,Significant_after_Holm
50,Decision Tree,Precision,10,0.9444159904972349,0.008952486958751319,0.9380117671256798,0.95082021386879,10,0.9542784714680215,0.008015247340833908,0.9485447089296929,0.96001223400635,10,0.009862480970786635,5.0,0.01953125,0.29296875,False
50,Decision Tree,Recall,10,0.9499638802117023,0.003936162023106612,0.9471481195254535,0.9527796408979511,10,0.9571051364867167,0.002567209968254399,0.9552686651068492,0.9589416078665842,10,0.007141256275014729,0.0,0.001953125,0.09375,False
50,Decision Tree,F1-score,10,0.947165669682853,0.005562446861180412,0.9431865349066128,0.9511448044590932,10,0.95567768774757,0.004772124010539612,0.9522639158804821,0.9590914596146579,10,0.008512018064716787,1.0,0.00390625,0.09375,False
50,Decision Tree,F2-score,10,0.9488387266206997,0.004193258914647361,0.9458390498975836,0.9518384033438158,10,0.956530749253691,0.0031629631878704713,0.9542681016939168,0.9587933968134651,10,0.00769202263299118,0.0,0.001953125,0.09375,False
50,KNN,Precision,10,0.9636084734153464,0.008167460564827325,0.957765824096054,0.9694511227346387,10,0.9655200427078823,0.006625219050274045,0.9607806465067004,0.9702594389090642,10,0.0019115692925359862,10.0,0.083984375,1.0,False
50,KNN,Recall,10,0.9576540624325173,0.002827471002771807,0.9556314115242527,0.9596767133407819,10,0.9659338487273524,0.002004315692941032,0.9645000476546617,0.9673676498000432,10,0.008279786294835112,0.0,0.001953125,0.09375,False
50,KNN,F1-score,10,0.9606035076294605,0.004149981143257559,0.9576347899589831,0.9635722252999378,10,0.9657166721910879,0.0035925458916926316,0.963146719677449,0.9682866247047268,10,0.005113164561627604,1.0,0.00390625,0.09375,False
50,KNN,F2-score,10,0.9588272693087827,0.002642084643249504,0.9569372358130751,0.9607173028044903,10,0.9658445197830277,0.002222365087132312,0.9642547355703595,0.9674343039956959,10,0.0070172504742449845,0.0,0.001953125,0.09375,False
50,Naive Bayes,Precision,10,0.9344605585883758,0.004517044754074732,0.93122925942897,0.9376918577477817,10,0.9485290084632376,0.004156107515464042,0.9455559082500938,0.9515021086763814,10,0.014068449874861777,0.0,0.001953125,0.09375,False
50,Naive Bayes,Recall,10,0.5149600027625969,0.010545344869928914,0.5074163174840509,0.5225036880411429,10,0.5195072918608266,0.010234355198793675,0.5121860751912127,0.5268285085304404,10,0.004547289098229662,0.0,0.001953125,0.09375,False
50,Naive Bayes,F1-score,10,0.6639583828256488,0.00950665864267737,0.6571577289129038,0.6707590367383938,10,0.6712852449984847,0.009151990681816326,0.6647383052608683,0.6778321847361012,10,0.007326862172836057,0.0,0.001953125,0.09375,False
50,Naive Bayes,F2-score,10,0.5657385194978547,0.0103900967272046,0.5583058920503456,0.5731711469453638,10,0.5711588712184774,0.010065127941079992,0.5639587124363475,0.5783590300006073,10,0.005420351720622685,0.0,0.001953125,0.09375,False
50,SVM,Precision,10,0.9965562392008774,0.006665836385156919,0.9917877871086849,1.0,10,0.9982130607763378,0.004797381357183774,0.9947812208919015,1.0,10,0.00165682157546021,17.0,0.322265625,1.0,False
50,SVM,Recall,10,0.9995601764045521,0.00013688117872649874,0.9994622575080526,0.9996580953010515,10,0.999618026407173,0.00019889103745899348,0.9994757483299911,0.9997603044843549,10,5.78500026207851e-05,20.0,0.4921875,1.0,False
50,SVM,F1-score,10,0.998045851379666,0.0033601576559030744,0.9956421393953655,1.0,10,0.9989097722223279,0.002408413193746049,0.9971868972117508,1.0,10,0.0008639208426620803,17.0,0.322265625,1.0,False
