Embedding_dimension,Model,Metric,Scenario_1_Mean_SD,Scenario_1_CI95,Scenario_2_Mean_SD,Scenario_2_CI95,Wilcoxon_W,p_value,Holm_adjusted_p,Significant_after_Holm
50,Decision Tree,Precision,0.9444 ± 0.0090,"[0.9380, 0.9508]",0.9543 ± 0.0080,"[0.9485, 0.9600]",5.0,0.01953125,0.29296875,False
50,Decision Tree,Recall,0.9500 ± 0.0039,"[0.9471, 0.9528]",0.9571 ± 0.0026,"[0.9553, 0.9589]",0.0,0.001953125,0.09375,False
50,Decision Tree,F1-score,0.9472 ± 0.0056,"[0.9432, 0.9511]",0.9557 ± 0.0048,"[0.9523, 0.9591]",1.0,0.00390625,0.09375,False
50,Decision Tree,F2-score,0.9488 ± 0.0042,"[0.9458, 0.9518]",0.9565 ± 0.0032,"[0.9543, 0.9588]",0.0,0.001953125,0.09375,False
50,KNN,Precision,0.9636 ± 0.0082,"[0.9578, 0.9695]",0.9655 ± 0.0066,"[0.9608, 0.9703]",10.0,0.083984375,1.0,False
50,KNN,Recall,0.9577 ± 0.0028,"[0.9556, 0.9597]",0.9659 ± 0.0020,"[0.9645, 0.9674]",0.0,0.001953125,0.09375,False
50,KNN,F1-score,0.9606 ± 0.0041,"[0.9576, 0.9636]",0.9657 ± 0.0036,"[0.9631, 0.9683]",1.0,0.00390625,0.09375,False
50,KNN,F2-score,0.9588 ± 0.0026,"[0.9569, 0.9607]",0.9658 ± 0.0022,"[0.9643, 0.9674]",0.0,0.001953125,0.09375,False
50,Naive Bayes,Precision,0.9345 ± 0.0045,"[0.9312, 0.9377]",0.9485 ± 0.0042,"[0.9456, 0.9515]",0.0,0.001953125,0.09375,False
50,Naive Bayes,Recall,0.5150 ± 0.0105,"[0.5074, 0.5225]",0.5195 ± 0.0102,"[0.5122, 0.5268]",0.0,0.001953125,0.09375,False
50,Naive Bayes,F1-score,0.6640 ± 0.0095,"[0.6572, 0.6708]",0.6713 ± 0.0092,"[0.6647, 0.6778]",0.0,0.001953125,0.09375,False
50,Naive Bayes,F2-score,0.5657 ± 0.0104,"[0.5583, 0.5732]",0.5712 ± 0.0101,"[0.5640, 0.5784]",0.0,0.001953125,0.09375,False
50,SVM,Precision,0.9966 ± 0.0067,"[0.9918, 1.0000]",0.9982 ± 0.0048,"[0.9948, 1.0000]",17.0,0.322265625,1.0,False
50,SVM,Recall,0.9996 ± 0.0001,"[0.9995, 0.9997]",0.9996 ± 0.0002,"[0.9995, 0.9998]",20.0,0.4921875,1.0,False
50,SVM,F1-score,0.9980 ± 0.0034,"[0.9956, 1.0000]",0.9989 ± 0.0024,"[0.9972, 1.0000]",17.0,0.322265625,1.0,False
50,SVM,F2-score,0.9990 ± 0.0014,"[0.9980, 0.9999]",0.9993 ± 0.0010,"[0.9986, 1.0000]",16.0,0.275390625,1.0,False
100,Decision Tree,Precision,0.9489 ± 0.0081,"[0.9431, 0.9547]",0.9538 ± 0.0072,"[0.9487, 0.9589]",13.0,0.16015625,1.0,False
