Dimension,Escenario,Algoritmo,Tiempo_clasificador_s,Exactitud,Precisión,Recall,F1-score,Sensibilidad,Especificidad,Precisión positiva,Tasa de falsos positivos,Valor F2,Valor F0.5,TP,TN,FP,FN,Repeticion,Fold,k_seleccionado,N_terminos_anadidos,Umbral_similitud,Politicos_test_pct
50,Escenario 1,Árbol de Decisión,16.613781000000017,0.9256139562743336,0.9449532393274216,0.958185927672956,0.9515235794969382,0.958185927672956,0.8213836477987422,0.9449532393274216,0.17861635220125785,0.955509824097212,0.9475704567541302,19501.0,5224.0,1136.0,851.0,1,1,2,0,,76.19047619047619
50,Escenario 1,KNN,7.792001599998912,0.9391659179395029,0.95825380511917,0.9620676100628931,0.960156920436435,0.9620676100628931,0.865880503144654,0.95825380511917,0.1341194968553459,0.9613024224035507,0.9590141452137455,19580.0,5507.0,853.0,772.0,1,1,2,0,,76.19047619047619
50,Escenario 1,Naïve Bayes,0.12021529999765335,0.608565438754118,0.937179713730341,0.5211772798742138,0.669845279444269,0.5211772798742138,0.8882075471698113,0.937179713730341,0.11179245283018868,0.5719539287794146,0.8081646958429842,10607.0,5649.0,711.0,9745.0,1,1,2,0,,76.19047619047619
50,Escenario 1,SVM,1.258443200000329,0.9873839472896077,0.9840386940749698,0.9996560534591195,0.9917858970921588,0.9996560534591195,0.9481132075471698,0.9840386940749698,0.05188679245283019,0.9964930497732237,0.9871230058611187,20345.0,6030.0,330.0,7.0,1,1,2,0,,76.19047619047619
50,Escenario 2,Árbol de Decisión,14.96050059999834,0.942722371967655,0.9657553551296505,0.9625,0.9641249296567248,0.9625,0.8637892376681614,0.9657553551296505,0.13621076233183857,0.963149314144367,0.965102523659306,20559.0,4623.0,729.0,801.0,1,1,2,100,0.7897207140922546,79.96406109613656
50,Escenario 2,KNN,7.700170800002525,0.9446690625935908,0.9623720930232558,0.9686797752808989,0.9655156322911805,0.9686797752808989,0.8488415545590433,0.9623720930232558,0.15115844544095666,0.9674116326912288,0.9636270491803278,20691.0,4543.0,809.0,669.0,1,1,2,100,0.7897207140922546,79.96406109613656
50,Escenario 2,Naïve Bayes,0.14320569999836152,0.596136567834681,0.949336960217613,0.5228464419475656,0.6743146962927182,0.5228464419475656,0.8886397608370703,0.949336960217613,0.11136023916292975,0.5744619562980947,0.8161833489242283,11168.0,4756.0,596.0,10192.0,1,1,2,100,0.7897207140922546,79.96406109613656
50,Escenario 2,SVM,1.3888236999991932,0.9997753818508536,0.9998127516150174,0.9999063670411985,0.9998595571368382,0.9999063670411985,0.9992526158445441,0.9998127516150174,0.0007473841554559044,0.9998876425535103,0.9998314732978804,21358.0,5348.0,4.0,2.0,1,1,2,100,0.7897207140922546,79.96406109613656
50,Escenario 1,Árbol de Decisión,15.574812400001974,0.9327268643306379,0.9571565705047239,0.9522971750276465,0.954720689394512,0.9522971750276465,0.8756233499559988,0.9571565705047239,0.12437665004400117,0.9532651027986595,0.9561807279995155,18945.0,5970.0,848.0,949.0,1,2,2,0,,74.47589098532494
50,Escenario 1,KNN,7.772144799993839,0.9455300988319856,0.9733045844242517,0.9530009047954157,0.9630457420059432,0.9530009047954157,0.92373129950132,0.9733045844242517,0.07626870049867997,0.9569935894200192,0.9691749309886515,18959.0,6298.0,520.0,935.0,1,2,2,0,,74.47589098532494
