Dimension,Escenario,Algoritmo,Metrica,N,Media,Desv_std,IC95_inf,IC95_sup
50,Escenario 1,KNN,Exactitud,10,0.9411687631027255,0.006358458876546561,0.9366201956340574,0.9457173305713935
50,Escenario 1,KNN,Precisión,10,0.9636084734153464,0.008167460564827325,0.957765824096054,0.9694511227346387
50,Escenario 1,KNN,Recall,10,0.9576540624325173,0.002827471002771807,0.9556314115242527,0.9596767133407819
50,Escenario 1,KNN,F1-score,10,0.9606035076294605,0.004149981143257559,0.9576347899589831,0.9635722252999378
50,Escenario 1,KNN,Valor F2,10,0.9588272693087827,0.002642084643249504,0.9569372358130751,0.9607173028044903
50,Escenario 1,KNN,Valor F0.5,10,0.9623997323566785,0.006477236650955316,0.9577661963868114,0.9670332683265457
50,Escenario 1,Naïve Bayes,Exactitud,10,0.6098345312967954,0.006703546496770595,0.6050391030158352,0.6146299595777557
50,Escenario 1,Naïve Bayes,Precisión,10,0.9344605585883758,0.004517044754074732,0.93122925942897,0.9376918577477817
50,Escenario 1,Naïve Bayes,Recall,10,0.5149600027625969,0.010545344869928914,0.5074163174840509,0.5225036880411429
50,Escenario 1,Naïve Bayes,F1-score,10,0.6639583828256488,0.00950665864267737,0.6571577289129038,0.6707590367383938
50,Escenario 1,Naïve Bayes,Valor F2,10,0.5657385194978547,0.0103900967272046,0.5583058920503456,0.5731711469453638
50,Escenario 1,Naïve Bayes,Valor F0.5,10,0.8034921843408442,0.007077147827738863,0.798429497767696,0.8085548709139925
50,Escenario 1,SVM,Exactitud,10,0.9970088349805332,0.005174061957377171,0.9933075340274033,1.0
50,Escenario 1,SVM,Precisión,10,0.9965562392008774,0.006665836385156919,0.9917877871086849,1.0
50,Escenario 1,SVM,Recall,10,0.9995601764045521,0.00013688117872649874,0.9994622575080526,0.9996580953010515
50,Escenario 1,SVM,F1-score,10,0.998045851379666,0.0033601576559030744,0.9956421393953655,1.0
50,Escenario 1,SVM,Valor F2,10,0.9989514432914619,0.0013551815628591046,0.9979820048016266,0.9999208817812972
50,Escenario 1,SVM,Valor F0.5,10,0.997149155738577,0.0053495186819002335,0.9933223406058606,1.0
50,Escenario 1,Árbol de Decisión,Exactitud,10,0.9206349206349206,0.008431320223528806,0.9146035174865691,0.9266663237832721
50,Escenario 1,Árbol de Decisión,Precisión,10,0.9444159904972349,0.008952486958751319,0.9380117671256798,0.95082021386879
50,Escenario 1,Árbol de Decisión,Recall,10,0.9499638802117023,0.003936162023106612,0.9471481195254535,0.9527796408979511
50,Escenario 1,Árbol de Decisión,F1-score,10,0.947165669682853,0.005562446861180412,0.9431865349066128,0.9511448044590932
50,Escenario 1,Árbol de Decisión,Valor F2,10,0.9488387266206997,0.004193258914647361,0.9458390498975836,0.9518384033438158
50,Escenario 1,Árbol de Decisión,Valor F0.5,10,0.9455100836463931,0.0075133747202516905,0.9401353391531156,0.9508848281396706
50,Escenario 2,KNN,Exactitud,10,0.9460392333033841,0.005644887531477567,0.9420011240243139,0.9500773425824544
50,Escenario 2,KNN,Precisión,10,0.9655200427078823,0.006625219050274045,0.9607806465067004,0.9702594389090642
50,Escenario 2,KNN,Recall,10,0.9659338487273524,0.002004315692941032,0.9645000476546617,0.9673676498000432
50,Escenario 2,KNN,F1-score,10,0.9657166721910879,0.0035925458916926316,0.963146719677449,0.9682866247047268
50,Escenario 2,KNN,Valor F2,10,0.9658445197830277,0.002222365087132312,0.9642547355703595,0.9674343039956959
50,Escenario 2,KNN,Valor F0.5,10,0.9655962214563913,0.005369259137964679,0.9617552848521023,0.9694371580606804
50,Escenario 2,Naïve Bayes,Exactitud,10,0.5998015873015873,0.007030363564109471,0.5947723681745171,0.6048308064286575
50,Escenario 2,Naïve Bayes,Precisión,10,0.9485290084632376,0.004156107515464042,0.9455559082500938,0.9515021086763814
50,Escenario 2,Naïve Bayes,Recall,10,0.5195072918608266,0.010234355198793675,0.5121860751912127,0.5268285085304404
50,Escenario 2,Naïve Bayes,F1-score,10,0.6712852449984847,0.009151990681816326,0.6647383052608683,0.6778321847361012
50,Escenario 2,Naïve Bayes,Valor F2,10,0.5711588712184774,0.010065127941079992,0.5639587124363475,0.5783590300006073
50,Escenario 2,Naïve Bayes,Valor F0.5,10,0.8140226657030952,0.006668174861810236,0.8092525407654793,0.8187927906407112
50,Escenario 2,SVM,Exactitud,10,0.9982517220724768,0.003900655747618338,0.9954613610456039,1.0
50,Escenario 2,SVM,Precisión,10,0.9982130607763378,0.004797381357183774,0.9947812208919015,1.0
50,Escenario 2,SVM,Recall,10,0.999618026407173,0.00019889103745899348,0.9994757483299911,0.9997603044843549
50,Escenario 2,SVM,F1-score,10,0.9989097722223279,0.002408413193746049,0.9971868972117508,1.0
50,Escenario 2,SVM,Valor F2,10,0.9993333227090361,0.0009674193464570143,0.9986412725985784,1.0
50,Escenario 2,SVM,Valor F0.5,10,0.9984903769679148,0.0038454930623324337,0.995739476948913,1.0
50,Escenario 2,Árbol de Decisión,Exactitud,10,0.9301362683438155,0.007670440907035499,0.9246491654691277,0.9356233712185033
50,Escenario 2,Árbol de Decisión,Precisión,10,0.9542784714680215,0.008015247340833908,0.9485447089296929,0.96001223400635
50,Escenario 2,Árbol de Decisión,Recall,10,0.9571051364867167,0.002567209968254399,0.9552686651068492,0.9589416078665842
50,Escenario 2,Árbol de Decisión,F1-score,10,0.95567768774757,0.004772124010539612,0.9522639158804821,0.9590914596146579
50,Escenario 2,Árbol de Decisión,Valor F2,10,0.956530749253691,0.0031629631878704713,0.9542681016939168,0.9587933968134651
50,Escenario 2,Árbol de Decisión,Valor F0.5,10,0.9548347897824758,0.006681732576986576,0.9500549662396793,0.9596146133252723
100,Escenario 1,KNN,Exactitud,10,0.9446203953279426,0.006250963864250338,0.9401487251586781,0.9490920654972071
100,Escenario 1,KNN,Precisión,10,0.9702148359960028,0.0068205211697654955,0.965335729074892,0.9750939429171136
100,Escenario 1,KNN,Recall,10,0.9563864778259639,0.0034190775401483024,0.9539406170955695,0.9588323385563582
100,Escenario 1,KNN,F1-score,10,0.9632410185621787,0.004259276815393369,0.9601941154778463,0.9662879216465111
