Dimension,Prediccion,Referencia,N,Exactitud,Precisión,Recall,F1-score,Sensibilidad,Especificidad,Precisión positiva,Tasa de falsos positivos,Valor F2,Valor F0.5,TP,TN,FP,FN,Balanced_Accuracy,Cohen_Kappa,MCC
50,etiqueta_silver_hashtag,Anotación humana ciega del silver standard,250,0.984,0.9949494949494949,0.985,0.9899497487437185,0.985,0.98,0.9949494949494949,0.02,0.9869739478957916,0.9929435483870968,197.0,49.0,1.0,3.0,0.9824999999999999,0.9507389162561577,0.9510274368824413
50,Pseudo_E1,Anotación humana ciega del silver standard,250,0.912,0.9238095238095239,0.97,0.9463414634146341,0.97,0.68,0.9238095238095239,0.32,0.9603960396039604,0.9326923076923077,194.0,34.0,16.0,6.0,0.825,0.7027027027027026,0.7092081432669752
50,Pseudo_E2,Anotación humana ciega del silver standard,250,0.912,0.9158878504672897,0.98,0.9468599033816425,0.98,0.64,0.9158878504672897,0.36,0.9664694280078896,0.928030303030303,196.0,32.0,18.0,4.0,0.81,0.6927374301675977,0.706372124592152
50,Árbol de Decisión_E1,Anotación humana ciega del silver standard,250,0.896,0.910377358490566,0.965,0.9368932038834952,0.965,0.62,0.910377358490566,0.38,0.9535573122529645,0.9208015267175572,193.0,31.0,19.0,7.0,0.7925,0.6428571428571428,0.6517726573140701
50,KNN_E1,Anotación humana ciega del silver standard,250,0.9,0.9186602870813397,0.96,0.9388753056234719,0.96,0.66,0.9186602870813397,0.34,0.9514370664023786,0.9266409266409267,192.0,33.0,17.0,8.0,0.81,0.6648793565683646,0.669771429843296
50,Naïve Bayes_E1,Anotación humana ciega del silver standard,250,0.588,0.8592592592592593,0.58,0.6925373134328359,0.58,0.62,0.8592592592592593,0.38,0.6203208556149733,0.7837837837837838,116.0,31.0,19.0,84.0,0.6,0.134453781512605,0.1605144707810256
50,SVM_E1,Anotación humana ciega del silver standard,250,0.908,0.9234449760765551,0.965,0.9437652811735942,0.965,0.68,0.9234449760765551,0.32,0.956392467789891,0.9314671814671814,193.0,34.0,16.0,7.0,0.8225,0.6916890080428955,0.6967783423369772
50,Árbol de Decisión_E2,Anotación humana ciega del silver standard,250,0.896,0.9065420560747663,0.97,0.9371980676328503,0.97,0.6,0.9065420560747663,0.4,0.9566074950690335,0.9185606060606061,194.0,30.0,20.0,6.0,0.7849999999999999,0.6368715083798883,0.6494066306734301
50,KNN_E2,Anotación humana ciega del silver standard,250,0.908,0.9154929577464789,0.975,0.9443099273607748,0.975,0.64,0.9154929577464789,0.36,0.9624876604146101,0.9268060836501901,195.0,32.0,18.0,5.0,0.8075,0.6814404432132963,0.6927626295535697
50,Naïve Bayes_E2,Anotación humana ciega del silver standard,250,0.604,0.8581560283687943,0.605,0.7096774193548387,0.605,0.6,0.8581560283687943,0.4,0.6429330499468651,0.7918848167539267,121.0,30.0,20.0,79.0,0.6025,0.1421143847487002,0.16536022546013504
50,SVM_E2,Anotación humana ciega del silver standard,250,0.912,0.9158878504672897,0.98,0.9468599033816425,0.98,0.64,0.9158878504672897,0.36,0.9664694280078896,0.928030303030303,196.0,32.0,18.0,4.0,0.81,0.6927374301675977,0.706372124592152
100,etiqueta_silver_hashtag,Anotación humana ciega del silver standard,250,0.984,0.9949494949494949,0.985,0.9899497487437185,0.985,0.98,0.9949494949494949,0.02,0.9869739478957916,0.9929435483870968,197.0,49.0,1.0,3.0,0.9824999999999999,0.9507389162561577,0.9510274368824413
100,Pseudo_E1,Anotación humana ciega del silver standard,250,0.916,0.92018779342723,0.98,0.9491525423728814,0.98,0.66,0.92018779342723,0.34,0.9674234945705824,0.9315589353612167,196.0,33.0,17.0,4.0,0.8200000000000001,0.7091412742382271,0.7209237120557473
100,Pseudo_E2,Anotación humana ciega del silver standard,250,0.908,0.9078341013824884,0.985,0.9448441247002398,0.985,0.6,0.9078341013824884,0.4,0.9685349065880039,0.9222846441947565,197.0,30.0,20.0,3.0,0.7925,0.670487106017192,0.6913039354198249
100,Árbol de Decisión_E1,Anotación humana ciega del silver standard,250,0.872,0.9038461538461539,0.94,0.9215686274509803,0.94,0.6,0.9038461538461539,0.4,0.9325396825396826,0.9108527131782945,188.0,30.0,20.0,12.0,0.77,0.574468085106383,0.5777466648897325
100,KNN_E1,Anotación humana ciega del silver standard,250,0.908,0.927536231884058,0.96,0.9434889434889435,0.96,0.7,0.927536231884058,0.3,0.9533267130089375,0.933852140077821,192.0,35.0,15.0,8.0,0.83,0.6965699208443272,0.6995593008237827
100,Naïve Bayes_E1,Anotación humana ciega del silver standard,250,0.548,0.8222222222222222,0.555,0.6626865671641791,0.555,0.52,0.8222222222222222,0.48,0.5935828877005348,0.75,111.0,26.0,24.0,89.0,0.5375000000000001,0.050420168067226934,0.0601929265428846
100,SVM_E1,Anotación humana ciega del silver standard,250,0.916,0.92018779342723,0.98,0.9491525423728814,0.98,0.66,0.92018779342723,0.34,0.9674234945705824,0.9315589353612167,196.0,33.0,17.0,4.0,0.8200000000000001,0.7091412742382271,0.7209237120557473
100,Árbol de Decisión_E2,Anotación humana ciega del silver standard,250,0.872,0.8925233644859814,0.955,0.9227053140096618,0.955,0.54,0.8925233644859814,0.46,0.9418145956607495,0.9043560606060606,191.0,27.0,23.0,9.0,0.7475,0.553072625698324,0.5639583897953472
100,KNN_E2,Anotación humana ciega del silver standard,250,0.9,0.9032258064516129,0.98,0.9400479616306955,0.98,0.58,0.9032258064516129,0.42,0.9636184857423795,0.9176029962546817,196.0,29.0,21.0,4.0,0.78,0.6418338108882522,0.6617610321967555
100,Naïve Bayes_E2,Anotación humana ciega del silver standard,250,0.568,0.8285714285714286,0.58,0.6823529411764706,0.58,0.52,0.8285714285714286,0.48,0.6170212765957447,0.7631578947368421,116.0,26.0,24.0,84.0,0.55,0.06896551724137934,0.08058229640253803
100,SVM_E2,Anotación humana ciega del silver standard,250,0.908,0.9078341013824884,0.985,0.9448441247002398,0.985,0.6,0.9078341013824884,0.4,0.9685349065880039,0.9222846441947565,197.0,30.0,20.0,3.0,0.7925,0.670487106017192,0.6913039354198249
200,etiqueta_silver_hashtag,Anotación humana ciega del silver standard,250,0.984,0.9949494949494949,0.985,0.9899497487437185,0.985,0.98,0.9949494949494949,0.02,0.9869739478957916,0.9929435483870968,197.0,49.0,1.0,3.0,0.9824999999999999,0.9507389162561577,0.9510274368824413
200,Pseudo_E1,Anotación humana ciega del silver standard,250,0.916,0.92018779342723,0.98,0.9491525423728814,0.98,0.66,0.92018779342723,0.34,0.9674234945705824,0.9315589353612167,196.0,33.0,17.0,4.0,0.8200000000000001,0.7091412742382271,0.7209237120557473
200,Pseudo_E2,Anotación humana ciega del silver standard,250,0.908,0.9078341013824884,0.985,0.9448441247002398,0.985,0.6,0.9078341013824884,0.4,0.9685349065880039,0.9222846441947565,197.0,30.0,20.0,3.0,0.7925,0.670487106017192,0.6913039354198249
200,Árbol de Decisión_E1,Anotación humana ciega del silver standard,250,0.88,0.8935185185185185,0.965,0.9278846153846154,0.965,0.54,0.8935185185185185,0.46,0.9498031496062992,0.9069548872180451,193.0,27.0,23.0,7.0,0.7525,0.5738636363636365,0.5892845353617875
200,KNN_E1,Anotación humana ciega del silver standard,250,0.912,0.9198113207547169,0.975,0.9466019417475728,0.975,0.66,0.9198113207547169,0.34,0.9634387351778656,0.9303435114503816,195.0,33.0,17.0,5.0,0.8175,0.6978021978021978,0.7074797220417685
200,Naïve Bayes_E1,Anotación humana ciega del silver standard,250,0.548,0.8222222222222222,0.555,0.6626865671641791,0.555,0.52,0.8222222222222222,0.48,0.5935828877005348,0.75,111.0,26.0,24.0,89.0,0.5375000000000001,0.050420168067226934,0.0601929265428846
200,SVM_E1,Anotación humana ciega del silver standard,250,0.92,0.9245283018867925,0.98,0.9514563106796117,0.98,0.68,0.9245283018867925,0.32,0.9683794466403162,0.9351145038167938,196.0,34.0,16.0,4.0,0.8300000000000001,0.7252747252747253,0.7353332544056176
200,Árbol de Decisión_E2,Anotación humana ciega del silver standard,250,0.904,0.9230769230769231,0.96,0.9411764705882353,0.96,0.68,0.9230769230769231,0.32,0.9523809523809523,0.9302325581395349,192.0,34.0,16.0,8.0,0.8200000000000001,0.6808510638297873,0.6847367880174607
200,KNN_E2,Anotación humana ciega del silver standard,250,0.912,0.9158878504672897,0.98,0.9468599033816425,0.98,0.64,0.9158878504672897,0.36,0.9664694280078896,0.928030303030303,196.0,32.0,18.0,4.0,0.81,0.6927374301675977,0.706372124592152
200,Naïve Bayes_E2,Anotación humana ciega del silver standard,250,0.56,0.8260869565217391,0.57,0.6745562130177515,0.57,0.52,0.8260869565217391,0.48,0.6076759061833689,0.7579787234042553,114.0,26.0,24.0,86.0,0.5449999999999999,0.061433447098976024,0.07239256335987602
200,SVM_E2,Anotación humana ciega del silver standard,250,0.908,0.9078341013824884,0.985,0.9448441247002398,0.985,0.6,0.9078341013824884,0.4,0.9685349065880039,0.9222846441947565,197.0,30.0,20.0,3.0,0.7925,0.670487106017192,0.6913039354198249
