Rango,Palabra,Cluster_original,Cluster_nuevo,Similitud_coseno_politica,Distancia_coseno_politica
1,bull,1,0,0.9002355,0.099764526
2,#leonidasizapide,1,0,0.8771072,0.1228928
3,elsie,1,0,0.8613169,0.13868308
4,roque,1,0,0.85960156,0.14039844
5,caspigasi,1,0,0.8558313,0.14416867
6,#sweetandcoffee,1,0,0.85459626,0.14540374
7,#movilizacionnacional,1,0,0.835353,0.16464698
8,abraham,1,0,0.83044225,0.16955775
9,guatatoca,1,0,0.8240182,0.17598182
10,wade,1,0,0.82365847,0.17634153
11,matovelle,1,0,0.82186437,0.17813563
12,saudita,1,0,0.82031614,0.17968386
13,insutec,1,0,0.8132473,0.18675268
14,andrew,1,0,0.81307775,0.18692225
15,#happyfathersday,1,0,0.8126746,0.18732542
16,#petropresidente,1,0,0.8087959,0.19120407
17,refugiado,1,0,0.80767035,0.19232965
18,dani,1,0,0.8046112,0.1953888
19,fundamedios,1,0,0.80086464,0.19913536
20,paiva,1,0,0.800847,0.199153
21,seokjin,1,0,0.7965866,0.20341343
22,egipto,1,0,0.7965087,0.20349127
23,#artiedamentiroso,1,0,0.7956994,0.20430058
24,banfield,1,0,0.79396427,0.20603573
25,carapaz,1,0,0.7925783,0.20742172
26,gordillo,1,0,0.7921376,0.20786238
27,merchan,1,0,0.790529,0.20947099
28,#quelauabralapuerta,1,0,0.7875871,0.2124129
29,goltv,1,0,0.7855144,0.21448559
30,shushufindi,1,0,0.78372157,0.21627843
31,uribismo,1,0,0.7832186,0.21678138
32,#felizlunes,1,0,0.78149354,0.21850646
33,gareca,1,0,0.78092545,0.21907455
34,tisaleo,1,0,0.7801137,0.2198863
35,pallanca,1,0,0.7792892,0.22071081
36,merino,1,0,0.7759645,0.2240355
37,biyin,1,0,0.77458346,0.22541654
38,alves,1,0,0.7742126,0.2257874
39,ratio,1,0,0.7724182,0.2275818
40,quezada,1,0,0.77160907,0.22839093
41,#ibarra,1,0,0.77011013,0.22988987
42,#congresoquito,1,0,0.7689872,0.23101282
43,fedeguayas,1,0,0.76826304,0.23173696
44,hackeada,1,0,0.76721257,0.23278743
45,bicentenario,1,0,0.7666039,0.23339611
46,toala,1,0,0.7657132,0.23428679
47,safe,1,0,0.76568466,0.23431534
48,ineos,1,0,0.76425195,0.23574805
49,fertisa,1,0,0.7638518,0.23614818
50,doha,1,0,0.7625058,0.23749417
51,lalisa,1,0,0.7622358,0.23776418
52,#wimbledon,1,0,0.76200694,0.23799306
53,#fathersday,1,0,0.7618993,0.23810071
54,peaje,1,0,0.7597368,0.24026322
55,arzobispo,1,0,0.759141,0.24085897
56,jairala,1,0,0.753863,0.24613702
57,bts,1,0,0.7538622,0.2461378
58,#obiwan,1,0,0.75364023,0.24635977
59,our,1,0,0.75330794,0.24669206
60,karmaland,1,0,0.7526042,0.24739581
61,adri,1,0,0.7499383,0.2500617
62,anselmi,1,0,0.7498584,0.25014162
63,purga,1,0,0.7495914,0.2504086
64,miraflores,1,0,0.74785155,0.25214845
65,celico,1,0,0.747245,0.252755
66,canarte,1,0,0.7470352,0.2529648
67,machachi,1,0,0.746786,0.253214
68,gareth,1,0,0.74647737,0.25352263
69,#muertecruzada,1,0,0.74616027,0.25383973
70,mandela,1,0,0.7457338,0.2542662
71,moya,1,0,0.7413554,0.25864458
72,jersey,1,0,0.74039346,0.25960654
73,wiggins,1,0,0.738582,0.26141798
74,juanes,1,0,0.7382935,0.26170647
75,skz,1,0,0.73637134,0.26362866
76,bale,1,0,0.7351971,0.26480287
77,directv,1,0,0.7343446,0.2656554
78,duki,1,0,0.73357314,0.26642686
79,gerardo,1,0,0.73336625,0.26663375
80,bracho,1,0,0.73286164,0.26713836
81,hamilton,1,0,0.7317314,0.2682686
82,#ladypollo,1,0,0.73078585,0.26921415
83,eustaquio,1,0,0.730598,0.26940203
84,cordoba,1,0,0.7301218,0.2698782
85,wanda,1,0,0.72995573,0.27004427
86,patrickson,1,0,0.72994554,0.27005446
87,nicki,1,0,0.7264897,0.27351028
88,andre,1,0,0.72493005,0.27506995
89,balvin,1,0,0.7232189,0.27678108
90,excited,1,0,0.72234344,0.27765656
91,#diadelpadre,1,0,0.7211929,0.2788071
92,biza,1,0,0.72106504,0.27893496
93,tevez,1,0,0.718368,0.281632
94,duko,1,0,0.71433717,0.28566283
95,lipa,1,0,0.71344477,0.28655523
96,#postulacioncpccs,1,0,0.70956063,0.29043937
97,atrevimiento,1,0,0.70913434,0.29086566
98,mike,1,0,0.70859855,0.29140145
99,frickson,1,0,0.70711535,0.29288465
100,politecnica,1,0,0.705781,0.29421902
