Indicador,Valor,Origen
Dataset,tweets,tweets
Columna fuente,texto_original,tweets
Documentos,144704,tweets
Documentos vacíos tras limpieza,1896,tweets
Tokens evaluados,1352078,tweets
Tokens conservados,880756,tweets
Conservados por lista blanca,1714,tweets
Eliminados stopword,207579,tweets
Eliminados por POS,225843,tweets
Eliminados por longitud,34524,tweets
Eliminados lista negra,2032,tweets
Eliminados URL/email,0,tweets
Eliminados ruido,1344,tweets
Eliminados hashtag,0,tweets
Eliminados mención,0,tweets
Dataset,evento_paro,paro
Columna fuente,texto_original,paro
Documentos,29642,paro
Documentos vacíos tras limpieza,52,paro
Tokens evaluados,258835,paro
Tokens conservados,174758,paro
Conservados por lista blanca,450,paro
Eliminados stopword,33790,paro
Eliminados por POS,41714,paro
Eliminados por longitud,8187,paro
Eliminados lista negra,119,paro
Eliminados URL/email,0,paro
Eliminados ruido,267,paro
Eliminados hashtag,0,paro
Eliminados mención,0,paro
Dataset,evento_muerte_cruzada,muerte
Columna fuente,texto_original,muerte
Documentos,115062,muerte
Documentos vacíos tras limpieza,1844,muerte
Tokens evaluados,1093243,muerte
Tokens conservados,705998,muerte
Conservados por lista blanca,1264,muerte
Eliminados stopword,173789,muerte
Eliminados por POS,184129,muerte
Eliminados por longitud,26337,muerte
Eliminados lista negra,1913,muerte
Eliminados URL/email,0,muerte
Eliminados ruido,1077,muerte
Eliminados hashtag,0,muerte
Eliminados mención,0,muerte
Dataset,trends,trends
Columna fuente,trend_original,trends
Documentos,1161,trends
Documentos vacíos tras limpieza,203,trends
Tokens evaluados,1624,trends
Tokens conservados,1246,trends
Conservados por lista blanca,0,trends
Eliminados stopword,24,trends
Eliminados por POS,299,trends
Eliminados por longitud,24,trends
Eliminados lista negra,0,trends
Eliminados URL/email,0,trends
Eliminados ruido,31,trends
Eliminados hashtag,0,trends
Eliminados mención,0,trends
