Dimension,Evento,Prediccion,N,Exactitud,Precisión,Recall,F1-score,Sensibilidad,Especificidad,Precisión positiva,Tasa de falsos positivos,Valor F2,Valor F0.5,TP,TN,FP,FN,Balanced_Accuracy,Cohen_Kappa,MCC
50,Muerte Cruzada,Pseudo_E1,2435,0.8960985626283368,0.8941877794336811,0.9782608695652174,0.9343368803529717,0.9782608695652174,0.6420168067226891,0.8941877794336811,0.35798319327731093,0.9602048436999894,0.9098261221188839,1800.0,382.0,213.0,40.0,0.8101388381439533,0.6879493874780609,0.7041666176786775
50,Muerte Cruzada,Pseudo_E2,2435,0.8833675564681724,0.8787731256085687,0.9809782608695652,0.9270672829994864,0.9809782608695652,0.5815126050420169,0.8787731256085687,0.4184873949579832,0.9586785638410877,0.8974741447891806,1805.0,346.0,249.0,35.0,0.781245432955791,0.6404166038363743,0.6653040411018272
50,Paro Nacional,Pseudo_E1,1805,0.8725761772853186,0.9196603527106466,0.9293729372937294,0.9244911359159553,0.9293729372937294,0.5758620689655173,0.9196603527106466,0.4241379310344828,0.9274140429455935,0.9215865951040713,1408.0,167.0,123.0,107.0,0.7526175031296234,0.5167617273891281,0.5170539646340285
50,Paro Nacional,Pseudo_E2,1805,0.8736842105263158,0.9101338432122371,0.9425742574257425,0.9260700389105059,0.9425742574257425,0.5137931034482759,0.9101338432122371,0.4862068965517241,0.9359024773889107,0.9164420485175202,1428.0,149.0,141.0,87.0,0.7281836804370092,0.49352039874469267,0.4971099071097805
100,Muerte Cruzada,Pseudo_E1,2435,0.8891170431211499,0.8859390363815143,0.9793478260869565,0.930304594734125,0.9793478260869565,0.6100840336134454,0.8859390363815143,0.3899159663865546,0.959122844368746,0.903167602245389,1802.0,363.0,232.0,38.0,0.7947159298502009,0.6625121273876196,0.6828940679843895
100,Muerte Cruzada,Pseudo_E2,2435,0.8809034907597536,0.8751210067763795,0.9826086956521739,0.9257552483358935,0.9826086956521739,0.5663865546218487,0.8751210067763795,0.4336134453781513,0.9590494377254403,0.894695170229612,1808.0,337.0,258.0,32.0,0.7744976251370113,0.6299450275910137,0.6578965966913402
100,Paro Nacional,Pseudo_E1,1805,0.8731301939058171,0.9137709137709138,0.9372937293729373,0.9253828608667318,0.9372937293729373,0.5379310344827586,0.9137709137709138,0.46206896551724136,0.9324927764644076,0.9183805458543526,1420.0,156.0,134.0,95.0,0.737612381927848,0.5025483647741975,0.5043615967098789
100,Paro Nacional,Pseudo_E2,1805,0.8753462603878116,0.9071969696969697,0.9485148514851485,0.9273959341723137,0.9485148514851485,0.49310344827586206,0.9071969696969697,0.506896551724138,0.9399529042386185,0.915170042032862,1437.0,143.0,147.0,78.0,0.7208091498805053,0.4886202663140995,0.4947418529266802
200,Muerte Cruzada,Pseudo_E1,2435,0.8891170431211499,0.8863188976377953,0.9788043478260869,0.9302685950413223,0.9788043478260869,0.611764705882353,0.8863188976377953,0.38823529411764707,0.9587947189097104,0.9033908507223114,1801.0,364.0,231.0,39.0,0.7952845268542199,0.6629429497170043,0.6828474710757828
200,Muerte Cruzada,Pseudo_E2,2435,0.8813141683778234,0.875544794188862,0.9826086956521739,0.9259923175416133,0.9826086956521739,0.5680672268907563,0.875544794188862,0.4319327731092437,0.9591511936339523,0.8950495049504951,1808.0,338.0,257.0,32.0,0.775337961271465,0.6314615273831812,0.6591778299777451
200,Paro Nacional,Pseudo_E1,1805,0.8736842105263158,0.9138263665594856,0.9379537953795379,0.9257328990228013,0.9379537953795379,0.5379310344827586,0.9138263665594856,0.46206896551724136,0.933026920551543,0.918552036199095,1421.0,156.0,134.0,94.0,0.7379424149311482,0.5039893937567796,0.5059084985900295
200,Paro Nacional,Pseudo_E2,1805,0.8759002770083103,0.9067422810333964,0.9498349834983498,0.9277885235332044,0.9498349834983498,0.4896551724137931,0.9067422810333964,0.5103448275862069,0.9408918530142539,0.915045148162279,1439.0,142.0,148.0,76.0,0.7197450779560715,0.48852624920936116,0.495265135923276
