Embedding_dimension,Ranking,Term,Cosine_similarity,Cosine_distance
50,1,#fueralassodictador,0.8852115,0.11478847
50,2,#leonidasizapide,0.8704684,0.12953162
50,3,#sweetandcoffee,0.8620151,0.13798487
50,4,caspigasi,0.86150914,0.13849086
50,5,ecomoda,0.8608672,0.1391328
50,6,roque,0.84801453,0.15198547
50,7,abraham,0.82772636,0.17227364
50,8,saudita,0.82390416,0.17609584
50,9,#movilizacionnacional,0.8238738,0.17612618
50,10,guatatoca,0.81189734,0.18810266
50,11,shushufindi,0.8105006,0.18949938
50,12,#petropresidente,0.80803204,0.19196796
50,13,matovelle,0.80625176,0.19374824
50,14,refugiado,0.8026369,0.19736308
50,15,insutec,0.79954565,0.20045435
50,16,carapaz,0.7984212,0.2015788
50,17,#happyfathersday,0.79775697,0.20224303
50,18,seokjin,0.79568315,0.20431685
50,19,andrew,0.79462504,0.20537496
50,20,dani,0.7925063,0.20749372
50,21,#artiedamentiroso,0.7910491,0.20895088
50,22,uribismo,0.78641087,0.21358913
50,23,egipto,0.7861153,0.21388471
50,24,goltv,0.78586614,0.21413386
50,25,paiva,0.7816567,0.21834332
50,26,merchan,0.77767324,0.22232676
50,27,banfield,0.77735513,0.22264487
50,28,#quelauabralapuerta,0.77516633,0.22483367
50,29,biyin,0.7737049,0.22629511
50,30,#felizlunes,0.77202064,0.22797936
50,31,ratio,0.7685408,0.2314592
50,32,safe,0.7668605,0.23313951
50,33,quezada,0.76170456,0.23829544
50,34,merino,0.76164395,0.23835605
50,35,gareca,0.7615067,0.23849332
50,36,gordillo,0.7608573,0.23914272
50,37,pallanca,0.7608402,0.23915982
50,38,tisaleo,0.75964427,0.24035573
50,39,jairala,0.75885963,0.24114037
50,40,hackeada,0.75676095,0.24323905
50,41,fundamedios,0.7565394,0.2434606
50,42,lalisa,0.75622267,0.24377733
50,43,alves,0.7557977,0.24420232
50,44,ineos,0.7550136,0.24498641
50,45,our,0.75343144,0.24656856
50,46,fedeguayas,0.75238353,0.24761647
50,47,toala,0.75084394,0.24915606
50,48,bicentenario,0.74723136,0.25276864
50,49,peaje,0.74626327,0.25373673
50,50,karmaland,0.74545455,0.25454545
50,51,#fathersday,0.7449252,0.2550748
50,52,mandela,0.7442955,0.25570452
50,53,#congresoquito,0.743351,0.25664902
50,54,#ibarra,0.74278325,0.25721675
50,55,#wimbledon,0.74243367,0.25756633
50,56,doha,0.7423989,0.25760108
50,57,fertisa,0.7417821,0.25821787
50,58,adri,0.7406552,0.25934482
50,59,arzobispo,0.73598355,0.26401645
50,60,celico,0.7345825,0.26541752
50,61,andre,0.73176765,0.26823235
50,62,anselmi,0.73131144,0.26868856
50,63,#muertecruzada,0.7310381,0.2689619
50,64,#obiwan,0.7309214,0.2690786
50,65,miraflores,0.7304344,0.26956558
50,66,bts,0.72783977,0.27216023
50,67,gerardo,0.7272343,0.2727657
50,68,hamilton,0.7268912,0.27310878
50,69,eustaquio,0.7264994,0.27350062
50,70,machachi,0.72649187,0.27350813
50,71,purga,0.7244294,0.27557057
50,72,nicki,0.72413015,0.27586985
50,73,duki,0.72322994,0.27677006
50,74,#ladypollo,0.7220635,0.27793652
50,75,unidas,0.7217902,0.2782098
50,76,juanes,0.72025084,0.27974916
50,77,skz,0.7200535,0.2799465
50,78,moya,0.72004443,0.27995557
50,79,wiggins,0.7188795,0.28112048
50,80,canarte,0.71872187,0.28127813
50,81,directv,0.7180007,0.2819993
50,82,gareth,0.71770316,0.28229684
50,83,wanda,0.7157222,0.2842778
50,84,pinto,0.7156848,0.28431523
50,85,excited,0.7151523,0.28484768
50,86,jersey,0.71279246,0.28720754
50,87,cordoba,0.70799696,0.29200304
50,88,bracho,0.7075543,0.29244572
50,89,bale,0.7070846,0.2929154
50,90,ordonez,0.7055856,0.2944144
50,91,biza,0.7039253,0.2960747
50,92,lipa,0.70383006,0.29616994
50,93,patrickson,0.70326585,0.29673415
50,94,balvin,0.7017977,0.29820228
50,95,mike,0.70000535,0.29999465
50,96,#diadelpadre,0.6975876,0.3024124
50,97,#postulacioncpccs,0.6975228,0.30247718
50,98,mariscal,0.6974009,0.30259907
50,99,cutuglagua,0.6972928,0.3027072
50,100,#justiciaparasanti,0.6952866,0.30471343
100,1,bull,0.9002355,0.099764526
100,2,#leonidasizapide,0.8771072,0.1228928
100,3,elsie,0.8613169,0.13868308
100,4,roque,0.85960156,0.14039844
100,5,caspigasi,0.8558313,0.14416867
100,6,#sweetandcoffee,0.85459626,0.14540374
100,7,#movilizacionnacional,0.835353,0.16464698
100,8,abraham,0.83044225,0.16955775
100,9,guatatoca,0.8240182,0.17598182
100,10,wade,0.82365847,0.17634153
100,11,matovelle,0.82186437,0.17813563
100,12,saudita,0.82031614,0.17968386
100,13,insutec,0.8132473,0.18675268
100,14,andrew,0.81307775,0.18692225
