Dimension,Algoritmo,Metrica,N_pares,Media_E1,Media_E2,Diferencia_media_E2_menos_E1,Wilcoxon_W,p_valor,p_ajustado_Holm,Significativo_0_05
50,KNN,Precisión,10,0.9636084734153464,0.9655200427078823,0.0019115692925359862,10.0,0.083984375,1.0,False
50,KNN,Recall,10,0.9576540624325173,0.9659338487273524,0.008279786294835112,0.0,0.001953125,0.09375,False
50,KNN,F1-score,10,0.9606035076294605,0.9657166721910879,0.005113164561627604,1.0,0.00390625,0.09375,False
50,KNN,Valor F2,10,0.9588272693087827,0.9658445197830277,0.0070172504742449845,0.0,0.001953125,0.09375,False
50,Naïve Bayes,Precisión,10,0.9344605585883758,0.9485290084632376,0.014068449874861777,0.0,0.001953125,0.09375,False
50,Naïve Bayes,Recall,10,0.5149600027625969,0.5195072918608266,0.004547289098229662,0.0,0.001953125,0.09375,False
50,Naïve Bayes,F1-score,10,0.6639583828256488,0.6712852449984847,0.007326862172836057,0.0,0.001953125,0.09375,False
50,Naïve Bayes,Valor F2,10,0.5657385194978547,0.5711588712184774,0.005420351720622685,0.0,0.001953125,0.09375,False
50,SVM,Precisión,10,0.9965562392008774,0.9982130607763378,0.00165682157546021,17.0,0.322265625,1.0,False
50,SVM,Recall,10,0.9995601764045521,0.999618026407173,5.78500026207851e-05,20.0,0.4921875,1.0,False
50,SVM,F1-score,10,0.998045851379666,0.9989097722223279,0.0008639208426620803,17.0,0.322265625,1.0,False
50,SVM,Valor F2,10,0.9989514432914619,0.9993333227090361,0.00038187941757403807,16.0,0.275390625,1.0,False
50,Árbol de Decisión,Precisión,10,0.9444159904972349,0.9542784714680215,0.009862480970786635,5.0,0.01953125,0.29296875,False
50,Árbol de Decisión,Recall,10,0.9499638802117023,0.9571051364867167,0.007141256275014729,0.0,0.001953125,0.09375,False
50,Árbol de Decisión,F1-score,10,0.947165669682853,0.95567768774757,0.008512018064716787,1.0,0.00390625,0.09375,False
50,Árbol de Decisión,Valor F2,10,0.9488387266206997,0.956530749253691,0.00769202263299118,0.0,0.001953125,0.09375,False
100,KNN,Precisión,10,0.9702148359960028,0.9733927003101398,0.0031778643141370244,0.0,0.001953125,0.09375,False
100,KNN,Recall,10,0.9563864778259639,0.9658099583395281,0.009423480513564097,0.0,0.001953125,0.09375,False
100,KNN,F1-score,10,0.9632410185621787,0.969574943063326,0.006333924501147348,0.0,0.001953125,0.09375,False
100,KNN,Valor F2,10,0.9591141861410521,0.9673096738371818,0.008195487696129456,0.0,0.001953125,0.09375,False
100,Naïve Bayes,Precisión,10,0.9359468583248391,0.9502483156547774,0.01430145732993825,0.0,0.001953125,0.09375,False
100,Naïve Bayes,Recall,10,0.5155416618234041,0.5196544749979547,0.004112813174550501,0.0,0.001953125,0.09375,False
100,Naïve Bayes,F1-score,10,0.6648090884139245,0.671825882328059,0.007016793914134445,0.0,0.001953125,0.09375,False
100,Naïve Bayes,Valor F2,10,0.5664058874112784,0.571420809652493,0.005014922241214614,0.0,0.001953125,0.09375,False
100,SVM,Precisión,10,0.9978809804277293,0.9980981527418422,0.00021717231411281235,9.0,0.064453125,0.837890625,False
100,SVM,Recall,10,0.999431669370221,0.9994410060447423,9.336674521465138e-06,26.0,0.921875,1.0,False
100,SVM,F1-score,10,0.9986498868491411,0.9987638454710804,0.0001139586219390809,13.0,0.16015625,1.0,False
100,SVM,Valor F2,10,0.9991173912766959,0.9991687489187504,5.1357642054394856e-05,18.0,0.375,1.0,False
100,Árbol de Decisión,Precisión,10,0.9488931403714534,0.9538164042122446,0.00492326384079117,13.0,0.16015625,1.0,False
100,Árbol de Decisión,Recall,10,0.9502509972090255,0.9573810473052886,0.007130050096263263,0.0,0.001953125,0.09375,False
100,Árbol de Decisión,F1-score,10,0.9495572395819114,0.9555802006057927,0.006022961023881357,3.0,0.009765625,0.15625,False
100,Árbol de Decisión,Valor F2,10,0.9499699132853084,0.9566562357092842,0.006686322423975766,0.0,0.001953125,0.09375,False
200,KNN,Precisión,10,0.9670371202393403,0.9719458811518281,0.00490876091248803,0.0,0.001953125,0.09375,False
200,KNN,Recall,10,0.9567053578776774,0.966003564454278,0.00929820657660071,0.0,0.001953125,0.09375,False
200,KNN,F1-score,10,0.9618301303776112,0.9689545714589739,0.007124441081362598,0.0,0.001953125,0.09375,False
200,KNN,Valor F2,10,0.9587455344098608,0.9671791722430312,0.008433637833170271,0.0,0.001953125,0.09375,False
200,Naïve Bayes,Precisión,10,0.9346079632803812,0.948655494387624,0.014047531107242583,0.0,0.001953125,0.09375,False
200,Naïve Bayes,Recall,10,0.5077163954043638,0.5112764074945607,0.0035600120901970013,0.0,0.001953125,0.09375,False
200,Naïve Bayes,F1-score,10,0.6579705270497492,0.6644365919611037,0.006466064911354463,0.0,0.001953125,0.09375,False
200,Naïve Bayes,Valor F2,10,0.5587535711015501,0.5632053447246096,0.004451773623059508,0.0,0.001953125,0.09375,False
200,SVM,Precisión,10,0.9931995606251954,0.9950125929585057,0.0018130323333103494,0.0,0.001953125,0.09375,False
200,SVM,Recall,10,0.9992151244124576,0.9992945114759365,7.938706347871971e-05,17.0,0.322265625,1.0,False
200,SVM,F1-score,10,0.9961847992753226,0.9971370736469769,0.0009522743716542492,7.0,0.037109375,0.51953125,False
200,SVM,Valor F2,10,0.9979975182828926,0.9984275342332163,0.00043001595032352566,15.0,0.232421875,1.0,False
200,Árbol de Decisión,Precisión,10,0.950917772823676,0.9582605978782455,0.007342825054569724,13.0,0.16015625,1.0,False
200,Árbol de Decisión,Recall,10,0.9540177696023315,0.9613448683290514,0.00732709872671986,0.0,0.001953125,0.09375,False
200,Árbol de Decisión,F1-score,10,0.9524498276555347,0.9597831103055094,0.007333282649974504,2.0,0.005859375,0.099609375,False
200,Árbol de Decisión,Valor F2,10,0.9533862628789318,0.9607154255430521,0.007329162664120159,0.0,0.001953125,0.09375,False
